,perc_clustered,perc_correct,n_clusters
0.1,0.0024559967253376994,1.0,935
0.25,0.6160458452722063,0.8823920265780731,937
0.5,0.6115431846090872,0.8821954484605087,946
0.75,0.0045026606631191155,0.9090909090909091,937
1.0,0.7032337290216947,0.8812572759022119,704
1.25,0.051985264019647974,0.905511811023622,702
1.5,0.048301268931641425,0.9067796610169492,698
1.75,0.7060990585345887,0.881159420289855,697
2.0,0.012689316414244782,0.967741935483871,235
2.25,0.8984854686860417,0.8856492027334852,239
2.5,0.012689316414244782,0.967741935483871,235
3.0,0.006549324600900532,1.0,46
3.5,0.006549324600900532,1.0,45
4.0,0.006549324600900532,1.0,15
4.5,0.006549324600900532,1.0,15
5.0,0.006549324600900532,1.0,7
5.5,0.006549324600900532,1.0,7
6.0,0.006549324600900532,1.0,4
